bgrf_id	mimotext_id	column	text	keyword	property	concept	concept_id
00.137	Q1139	r_s	critique des mœurs et des institutions (à la manière des Lettres persanes)	critique	P39	critique	Q3902 
55.11	Q1316	r_s	critique des mœurs, ton satirique	critique	P39	critique	Q3902 
55.19	Q1322	r_s	thèses féministes	thèses féministes	P39	critique	Q3902 
56.2	Q1354	r_s	critique des couvents	critique	P39	critique	Q3902 
56.3	Q1359	r_s	ton anti-religieux	ton anti-religieux	P39	critique	Q3902 
62.37	Q1454	r_s	critique des mœurs	critique	P39	critique	Q3902 
62.7	Q1459	r_s	critique des mœurs à la manière du Diable boiteux	critique	P39	critique	Q3902 
63.30	Q1475	r_s	critique des mœurs, ton comique	critique	P39	critique	Q3902 
65.11	Q1518	r_s	critique des mœurs, ton satirique	critique	P39	critique	Q3902 
67.29	Q1605	r_s	critique de l’église et des dogmes catholiques	critique	P39	critique	Q3902 
68.56	Q1668	r_s	critique des mœurs, thèmes philosophiques	critique	P39	critique	Q3902 
69.69	Q1715	r_s	critique de l’Eglise, thèmes philosophiques	critique	P39	critique	Q3902 
71.15	Q1768	r_s	thèmes anticléricaux	thèmes anticléricaux	P39	critique	Q3902 
73.15	Q1823	r_s	critique des mœurs et observations morales	critique	P39	critique	Q3902 
78.29	Q1972	r_s	critique des mœurs	critique	P39	critique	Q3902 
80.16	Q2014	r_s	retour à la nature, thèmes anticléricaux (religion naturelle)	thèmes anticléricaux	P39	critique	Q3902 
80.17	Q2015	r_s	critique des mœurs anglaises	critique	P39	critique	Q3902 
81.29	Q2052	r_s	thèmes philosophiques, théories pseudoscientifiques, critique des mœurs	critique	P39	critique	Q3902 
84.3	Q2136	r_s	critique polémique	critique	P39	critique	Q3902 
87.1	Q2232	r_s	thème de l’éducation, critique des mœurs	critique	P39	critique	Q3902 
87.20	Q2237	r_s	thèmes anticléricaux, ton satirique	thèmes anticléricaux	P39	critique	Q3902 
89.18	Q2331	r_s	conte allégorique, critique de la noblesse	critique	P39	critique	Q3902 
93.6	Q2491	r_s	attaques contre les monarques	attaques contre les monarques	P39	critique	Q3902 
94.7	Q2504	r_s	thèmes anticléricaux, vertus républicaines	thèmes anticléricaux	P39	critique	Q3902 
99.157	Q2687	r_s	critique des mœurs	critique	P39	critique	Q3902 
99.158	Q2688	r_s	critique sociale, ton moralisateur et sensible	critique	P39	critique	Q3902 
62.11	Q1026	r_s	critique des mœurs, ton satirique.	critique	P39	critique	Q3902 
85.24	Q1066	r_s	critique sociale, analyse psychologique.	critique	P39	critique	Q3902 
51.37	Q1233	r_s	intentions moralisatrices, thème de l’éducation	thème de l’éducation	P39	didactique	Q3918 
54.23	Q1300	r_s	intentions didactiques	didactique	P39	didactique	Q3918 
62.28	Q1449	r_s	modèle de piété et de sagesse pour les enfants	modèle de piété et de sagesse pour les enfants	P39	didactique	Q3918 
72.29	Q1807	r_s	discussions politiques, intentions didactiques	didactique	P39	didactique	Q3918 
75.30	Q1883	r_s	intentions didactiques (vulgarisation de théories scientifiques)	didactique	P39	didactique	Q3918 
78.30	Q1973	r_s	sensibilité, but didactique, esprit de système	but didactique	P39	didactique	Q3918 
85.40	Q2184	r_s	imitations d’Ossian, thèmes philosophiques, intentions didactiques, tendances réalistes	didactique	P39	didactique	Q3918 
87.1	Q2232	r_s	thème de l’éducation, critique des mœurs	thème de l’éducation	P39	didactique	Q3918 
89.112	Q2327	r_s	intentions didactiques	didactique	P39	didactique	Q3918 
89.26	Q2339	r_s	prétentions didactiques	didactique	P39	didactique	Q3918 
95.10	Q2506	r_s	épopée didactique	didactique	P39	didactique	Q3918 
97.44	Q2580	r_s	thèmes philosophiques, intentions didactiques	didactique	P39	didactique	Q3918 
98.62	Q2621	r_s	but didactique	but didactique	P39	didactique	Q3918 
99.120	Q2658	r_s	intentions didactiques	didactique	P39	didactique	Q3918 
82.20	Q1054	r_s	but didactique (roman d’éducation), sensibilité, vertu.	but didactique	P39	didactique	Q3918 
60.32	Q1418	r_s	discussions littéraires, linguistiques, philosophiques	discussions littéraires, linguistiques, philosophiques	P39	discussions littéraires	Q3919 
65.52	Q1552	r_s	discussions littéraires	discussions littéraires	P39	discussions littéraires	Q3919 
00.58	Q1180	r_s	éléments historiques (Charles Martel, la bataille de Tours)	éléments historiques (Charles Martel, la bataille de Tours)	P39	éléments (pseudo-)historiques	Q3920 
51.8	Q1240	r_s	narration pseudo-historique	narration pseudo-historique	P39	éléments (pseudo-)historiques	Q3920 
52.29	Q1256	r_s	ton pseudo-historique et sensible	ton pseudo-historique et sensible	P39	éléments (pseudo-)historiques	Q3920 
54.28	Q1304	r_s	ton pseudohistorique	ton pseudohistorique	P39	éléments (pseudo-)historiques	Q3920 
55.3.	Q1331	r_s	éléments pseudo-historiques	éléments pseudo-historiques	P39	éléments (pseudo-)historiques	Q3920 
66.34	Q1576	r_s	éléments pseudo-historiques	éléments pseudo-historiques	P39	éléments (pseudo-)historiques	Q3920 
86.61	Q2226	r_s	pseudo-mémoires d’un personnage historique	pseudo-mémoires d’un personnage historique	P39	éléments (pseudo-)historiques	Q3920 
00.10	Q1102	r_s	ton sensible, réflexions morales	morale	P39	morale	Q3921 
00.146	Q1144	r_s	sensibilité et prétentions moralisatrices	sensibilité et prétentions moralisatrices	P39	morale	Q3921 
00.18	Q1150	r_s	peinture des mœurs, ton sentimental	peinture des mœurs	P39	morale	Q3921 
00.28	Q1158	r_s	ton sentimental et moralisateur	ton sentimental et moralisateur	P39	morale	Q3921 
00.63	Q1185	r_s	ton sentimental, réflexions morales	morale	P39	morale	Q3921 
00.75	Q1197	r_s	sensibilité, but moralisateur	but moralisateur	P39	morale	Q3921 
51.31	Q1227	r_s	observations sur les mœurs européennes, ton plaisant	observations sur les mœurs européennes	P39	morale	Q3921 
51.37	Q1233	r_s	intentions moralisatrices, thème de l’éducation	intentions moralisatrices	P39	morale	Q3921 
53.14	Q1273	r_s	réflexions morales, sensibilité	morale	P39	morale	Q3921 
53.24	Q1280	r_s	ton moralisateur	ton moralisateur	P39	morale	Q3921 
53.31	Q1284	r_s	sensibilité, intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
54.29	Q1305	r_s	analyse morale	morale	P39	morale	Q3921 
54.3	Q1306	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
54.8	Q1312	r_s	but moralisateur	but moralisateur	P39	morale	Q3921 
55.15	Q1319	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
55.39	Q1340	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
56.5	Q1363	r_s	intentions moralisatrices	intentions moralisatrices	P39	morale	Q3921 
57.1	Q1367	r_s	la morale, la politique, etc.	morale	P39	morale	Q3921 
