Varianten	Konzept	Englisch	Deutsch
allégorique; allégorie; allégories; conte allégorique; allégoriques	allégorie	allegory	Allegorie
apologique; apologiques	apologie	apology	Apologetik 
mythologie et féerie; éléments surnaturels (magie Blanche); éléments merveilleux 	conte de fée	fantastic elements	märchenhafte Elemente
conte oriental merveilleux; conte philosophique; récit coupé en ’mois’; récit d’après un tableau de Raphaël	contes	narration	Erzählung 
forte couleur locale; couleur locale (mots tahitiens dans le texte); couleur locale africaine	couleur locale	dialect	Dialekt
critiques de l'église; critique de l’église et des dogmes catholiques; attaques contre les monarques; critique de la noblesse; critique des couvents; thèmes anticléricaux; attaques contre les philosophes; critiques des mœurs; critique polémique; thèses féministes; ton anti-religieux; critiques de l'église	critique	criticism	Kritik
à la manière de Courtilz de Sandras; à la manière de Prévost; A la manière des Lettres persanes; à la manière des Lettres persanes; dans le genre du Roman comique de Scarron; dans le style de Prévost; vogue du genre troubadour; goût pour l’ancienne littérature; ton satirique (parodie des ‘mémoires’ dans le genre de la Vie de Marianne); A la manière du Voyage sentimental de Sterne; A la manière de Werther; héros ‘philosophe’ (à la manière de Prévost); éléments du roman noir (grotte, couvents);  intentions moralisatrices (à la manière de Prévost); sensibilité effrénée (parodie de la Nouvelle Héloïse); parodie des romans à la mode; parodie des récits de voyages; imitations d’Ossia; influence d’Emile; parodie; goût pour l’ancienne littérature  	manière imitée (parodie)	artistic imitation 	Nachahmung
mélancolique; mélancoliques	mélancolie	melancholy	Melancholie
vie à la campagne; retour à la nature; éloge de la vie simple	attachement à la nature	love of nature 	Naturverbundenheit
précisions lubriques; détails pornographiques; ton ordurier; style poissard	précisions pornographiques	pornography	Pornographie
satire contre les Jésuites; satire de la religion chrétienne, du luxe, etc.; satire des disputes entre Jésuites et Capucins; satire des institutions économiques; satire des Jésuites; satire des mœurs; satire du parti des Philosophes; éléments satiriques; traits satiriques; ton satirique et facétieux; Utopie et tendances satiriques; ton satirique, puis sensibilité; ton satirique (parodie des ‘mémoires’ dans le genre de la Vie de Marianne); ton héroï-comique;  ton satirique (imitation de Candide); ton scabreux; ton satirique; ton ironique	satire	satire	Satire
fin sensible; ton léger mêlé de sensibilité; sensibilité, mais ironie; sensibilité et prétentions moralisatrices; sensibilité effrénée (parodie de la Nouvelle Héloïse); sensibilité (à la manière de Prévost); extrême sensibilité; sensibilité larmoyante; sensibilité exaltée; sensibilité extrême; sensibilité effrénée; sensibilité effrenée; sensibilité débordante; ton moralisateur et sensible; ton satirique, puis sensibilité; ton pseudo-historique et sensible; ton sensible 	sensibilité	sensibility	Sensibilität 
style grandiose; style grandiose; pseudo-épopée; style entrecoupé; style noble; ton noble; ton grandiose; ton elevé	style élevé	eloquent tone	Sprachfertigkeit
style épique, poème en prose; sensibilité, style épique; style épique	style épique	epic tone	epischer Tonfall
épopée burlesque; prose poétique; style poétique; voluptueux; genre troubadour	style poétique	poetic tone	poetischer Tonfall
ton réaliste; tendances réalistes; ton réaliste et humoristique; éléments réalistes; tendances réalistes au début; tendances réalistes et satiriques; tendances réalistes dans la description de la misère; tendances réalistes (vie économique); quelques tendances réalistes au début; réalisme du cadre; fortes tendances réalistes	tendances réalistes	realistic tendancies	realistische Tendenzen
ton plaisant; ton léger mêlé de sensibilité; ton héroï-comique; ton frivole; style héroï-comique; pseudo-épopée au ton léger; ton gai; ton licencieux; ton libre; ton frivole; ton facétieux; facétie; ton satirique et facétieux; ton plaisant, avec des notes facétieuses	ton gai	cheerful tone	heiterer Tonfall
correspondance sentimentale; ton sentimental et moralisateur; conversations sur l’amour	ton sentimental	sentimental tone	sentimentaler Tonfall
"langue ancienne (""manuscrit du XIVe siècle""); style ’ancien ’; style ancien; goût pour l’ancienne littérature"	vieux langage	ancient language	historische Sprachelemente
